item_id,shop_id,comment,rate_star,label
16223230656,76448301,Chất_lượng sản_phẩm : giao sai sản_phẩm .,1,1
15597751010,76448301,Chất_lượng sản_phẩm : quá tệ dây lỗi chỉ dùng được 1 rắc .,1,1
15597751010,76448301,"Mua xạc 3 đầu thì hư mất 2 đầu , : .",1,1
15597751010,76448301,Xạc cho dòng idroi thì được còn xạc cho iphone thì ko được,1,1
15597751010,76448301,Sản_phẩm không đúng không sạc nhanh chán .,1,1
15597751010,76448301,Thấy thông_số gi hỗ_trợ 120w đã mua và cái kết chậm bằng nửa dây cũ,1,1
15597751010,76448301,Hàng ko giao đề_nghị shop xem bên vận_chuyển,1,1
15597751010,76448301,Mới sạc được 1 lần thì hư,1,1
22881480182,76448301,Tính_năng nổi_bật : k co .,1,1
22881480182,76448301,Loa chỉ nghe được 1 bên chúe ko nghe đc 2 bên như mô_tả,1,1
22241132931,76448301,Shopee mall mà làm_ăn chán .,1,1
22241132931,76448301,các bạn đừng mua hàng đây nhé nếu hư dây sạc sẽ k dc đổi trả HÀNG đâu mình nhắn từ 246 đến bây_giờ vẫn chưa được đổi sạc,1,1
15898149631,76448301,Đúng với mô_tả : kém .,1,1
15898149631,76448301,sạc hơn 10 tiếng ko lên dc 100,1,1
15898149631,76448301,Tháy ko ok .,1,1
21892301958,76448301,Chất_lượng sản_phẩm :,1,1
15597751010,76448301,Đúng với mô_tả : Ok .,1,1
15597751010,76448301,"Shop giao hàng lỗi sạc không lên pin , rất buồn , nt phản_hồi cho shop thì shop không trả_lời kêu thử máy khác đi",1,1
15597751010,76448301,Đúng với mô_tả : cực_kì tệ lừa_đảo .,1,1
15597751010,76448301,"Chất_lượng sản_phẩm : không sạc nhanh được , đèn led cũng chói mắt ..",1,1
21892301958,76448301,Chất_lượng sản_phẩm :,1,1
21892301958,76448301,"Chữ in lên thôi nhìn xấu thực_sự , nút reset k bấm dc , đeo rất đau tai",1,1
21892301958,76448301,"Lừa_đảo , không đúng với mô_tả sản_phẩm .",1,1
21892301958,76448301,Tai nghe bên phải ko nghe được .,1,1
21892301958,76448301,sản_phẩm lỗi k kết_nối được Bluetooth . shop chặn tin nhắn khách . k đổi trả được sản_phẩm . tệ,1,1
21892301958,76448301,Loa bật mức_độ 50 vẫn rè .,1,1
21892301958,76448301,Tính_năng nổi_bật : Hàng fake .,1,1
22754318649,76448301,Sản_phẩm lỗi .,1,1
21892301958,76448301,"Không đẹp , logo in lệch , tai nghe to làm đau tai .",1,1
21892301958,76448301,"Bắt bluetooth kém , chập_chờn , liên_tục đứt sóng",1,1
21892301958,76448301,Mới dùng 2 3 hôm đã rè vcđ,1,1
21892301958,76448301,Tai trái không nghe được .,1,1
15597751010,76448301,"Hàng chất_lượng kém , chân sạc mới dùng đc vài bữa đã lung_lay .",1,1
15597751010,76448301,Sản phậm bị lỗi kênh chân sạc không sạc được .,1,1
15597751010,76448301,Shop bán hàng lỗi sạc chân iphone không hỗ_trợ sạc nhanh lừa_đảo,1,1
15597751010,76448301,"chất_lượng dây cũ sạc rất chậm kh như quảng_cáo , nhắn_tin shop kh trả_lời nói_chung mn nên né shop này nếu kh muốn ức_chế , cả 3 đầu cổng sạc khi cắm đều rất lỏng , cắm cái sạc cho ip là tụt lúc_nào kh hay",1,1
21892301958,76448301,"Hàng không đúng , đóng không khít được tai nghe .",1,1
22241132931,76448301,Shopee mall mà làm_ăn chán .,1,1
22754318649,76448301,bọn shopee khốn nạn.trả hàng hoàn tiền không cho người đến lấy_rồi tự huỷ yêu cầu.các vị làm_ăn khốn_nạn vừa thôi.tai nghe như cức kết_nối kém không lên mua nhé cả nhà,1,1
22877970102,76448301,"Giao hàng nhanh , đặt hôm trước hôm sau có luôn .",1,1
22077966811,76448301,Dùng cx được nhưng_mà không thích đánh_giá 5sao,1,1
22077966811,76448301,sao mình chỉ nghe được 1 bên vậy shop mong shop uy_tín 1 chút ạ,1,1
19083364124,76448301,Cục sạc dự_phòng sạc mãi không đầy 100 nhắn_tin shop thì shop không rep mong thấy được đánh_giá này và rep tin nhắn đổi cục khác giúp ạ,1,1
19083364124,76448301,"Cục sạc siêu lâu nha , mình sạc 1 tiếng đc 15 pin thôi , hơi thất_vọng",1,1
19083364124,76448301,Không sạc máy được bằng cổng type c,1,1
19083364124,76448301,Cục sạc dự_phòng sạc ko vào pin .,1,1
19083364124,76448301,Nhận hàng kêu sục sịt bên trong .,1,1
21989879903,76448301,Đúng với mô_tả : 800 eu .,1,1
21989879903,76448301,Chất_lượng sản_phẩm : chưa dùng được 1 tháng đã hỏng .,1,1
21989879903,76448301,Xạc quá dỡ .,1,1
21989879903,76448301,T ổnt .,1,1
23047048611,76448301,Đúng với mô_tả : khong .,1,1
21989879903,76448301,"chất_lượng sản_phẩm kém , sạc thì chận , cắm sạc chưa đc 10p mà đo nhiệt_độ hơn 63 độ . quét mã QR thì ko trùng với số seri để trên củ sạc , cầm củ sạc thì bên trong kêu lóc ca lóc_cóc .",1,1
21989879903,76448301,Buôn_bán gì nt thì khôg thấy rep .,1,1
21989879903,76448301,Chất_lượng sản_phẩm : HÀNG FAKE .,1,1
22077966811,76448301,"Hỏng ko kết_nối được bluetooth , k dùng dc .",1,1
22077966811,76448301,Mọi người đừng nên mua máy mới mua về không xạt pin được nghe chỉ dc 5p het pin,1,1
22077966811,76448301,"Tai nghe chỉ nghe được 1 bên , thử nhiều lần cũng ko dc , hoàn về thì shipper không lấy",1,1
22077966811,76448301,Lúc mở tai nghe 1 bên thì mở được 1 bên tai k mở được .,1,1
22877970102,76448301,Đúng với mô_tả : đúng .,1,1
22877970102,76448301,"Shop bán hàng cùi bắp , nt đổi trả hàng shop k thèm rep lun , cục sạc lỗi khiếu_nại shop k trl .",1,1
22877970102,76448301,Đúng với mô_tả : Dung_lượng không đúng .,1,1
22877970102,76448301,"Sạc 10000mah , máy mình 2600mah .",1,1
22877970102,76448301,Như lồn,1,1
21492302229,76448301,Tính_năng nổi_bật : Kém .,1,1
21492302229,76448301,"Hàng ko đáng với giá , loa zè",1,1
16695183708,76448301,"Shop này hỗ_trợ không nhiệt_tình , nhầm hàng shop không hỗ_trợ đổi",1,1
22077966811,76448301,Nói_chung sản_phẩm phù_hợp với tầm giá .,1,1
22077966811,76448301,"Tai nghe giống hình , âm_thanh tầm 10p đầu nghe rõ nhưng về sau bắt_đầu đứt_đoạn , bên được bên mất .",1,1
22077966811,76448301,"Hàng new còn seal nhưng bên trong hộp cứ cũ cũ í , lúc đầu mình thay seal ở ngoài sạch nhưng bên trong vỏ hộp thấy bẩn bẩn là có điềm rồi í .",1,1
22077966811,76448301,Chất_lượng sản_phẩm : khong tốt .,1,1
22077966811,76448301,Với cái giá là biết hàng đểu rồi ko mong gì nhiều chỉ muốn nghe ok là đc .,1,1
22077966811,76448301,Tính_năng nổi_bật : bình_thường .,1,1
22077966811,76448301,Tính_năng nổi_bật : chả biết .,1,1
22077966811,76448301,K hiểu sao mk mới sạc được 1 lần xong h tai nghe hết pin mk k sạc được nữa luôn .,1,1
22077966811,76448301,"Quá thất vọng.mình mua 2 cái một cái ok một cái hỏng cục sạc , không có đèn báo sạc pin tai nghe.sạc pin k vào điện.nhắn tin cho shop nhưng shop trả_lời lơ là.mn nên cân_nhắc khi mua nha .",1,1
23047048611,76448301,Shop làm_ăn kiểu gì hàng về sạc không được nhắn_tin đổi shop cứ dạ không thèm giải_quyết mọi người né shop này ra nhé ạ cẩn_thận mất tiền oan,1,1
23047048611,76448301,Sài vài bữa là sạc k vô .,1,1
23047048611,76448301,Đúng với mô_tả : khong .,1,1
22571917383,76448301,Không nghe được nhạc nt shop không trả_lời,1,1
22247040348,76448301,"Quá tệ , shop chăm_sóc khách_hàng bằng cách im_lặng , khá thất_vọng",1,1
21807535160,76448301,Tính_năng nổi_bật : shop gửi không đúng mẫu .,1,1
18883369105,76448301,Chất_lượng sản_phẩm : rất tệ .,1,1
22277599200,76448301,Để ảnh một đằng sản_phẩm một nẻo : lần đầu gặp được shop dễ_thương như vầy : .,1,1
22277599200,76448301,"Đặt một đằng giao một kiểu , hàng có dấu_hiệu bị bóc sẵn , ko có giấy bảo_hành .",1,1
21989879903,76448301,Đúng với mô_tả : 800 eu .,1,1
20542845170,76448301,"Sạc lâu , lúc đầu tưởng do dây sạc có vấn_đề nhưng khi đổi dây mới thì sạc gần tiếng chỉ được 16 pin từ 100 xuống 75 nhắn_tin shop không trả_lời .",1,1
22077966811,76448301,"Quá thất vọng.mình mua 2 cái một cái ok một cái hỏng cục sạc , không có đèn báo sạc pin tai nghe.sạc pin k vào điện.nhắn tin cho shop nhưng shop trả_lời lơ là.mn nên cân_nhắc khi mua nha .",1,1
20542845170,76448301,mình mua 2 món là tai nghe sạc dp . tai nghe thì ok còn riêng sạc dự_phòng thì sạc k hề đc k vào pin bất_cứ thiết_bị nào . mình đã liên_tục gọi và nhắn cho shop để yêu_cầu giải_quyết nhưng không hề nhận được phản_hồi nào,1,1
22077966811,76448301,Nói_chung sản_phẩm phù_hợp với tầm giá .,1,1
21492302229,76448301,Tính_năng nổi_bật : Kém .,1,1
22877970102,76448301,"Giao hàng nhanh , đặt hôm trước hôm sau có luôn .",1,1
23171914090,76448301,"Gửi hàng không đúng với mã đặt , đặt loa V8 gửi loa A88 mà không báo trước , mã A88 rẻ hơn",1,1
23171914090,76448301,Chất_lượng sản_phẩm : Tốt .,1,1
14993984250,76448301,"Hỏng ko kết_nối được bluetooth , k dùng dc .",1,1
19783359107,76448301,5000mah mà sạc dth từ 10 lên 25 là hết,1,1
19783359107,76448301,Tôi sạc cho pin sạc mà sạc cả đêm ko lên quá đc 1 vạch .,1,1
17882010839,76448301,"Tai nghe có 99k thì không nói gì về chất_lượng rồi , nhưng mình đặt pro 6 mà shop gửi về pro 4 , mình có phản_ánh lại thì từ hôm nhắn đến hôm_nay là 3 ngày và shop chỉ xin_lỗi suông chứ không có ý_kiến đổi trả hàng hay như nào cả , tai nghe rẻ_tiền thì thôi mình cũng không mất thời_giờ đi gửi trả hàng rồi chờ hoàn mấy chục một trăm làm gì nhưng vẫn đánh_giá kém vì gửi nhầm hàng nhé",1,1
